"Grand Prix","Date","Winner","Team","Laps","Time"
"Flag of AustraliaAustralia","16 Mar","Lando NorrisNOR","McLaren","57","1:42:06.304"
"Flag of People’s Republic of ChinaChina","23 Mar","Oscar PiastriPIA","McLaren","56","1:30:55.026"
"Flag of JapanJapan","06 Apr","Max VerstappenVER","Red Bull Racing","53","1:22:06.983"
"Flag of BahrainBahrain","13 Apr","Oscar PiastriPIA","McLaren","57","1:35:39.435"
"Flag of Saudi ArabiaSaudi Arabia","20 Apr","Oscar PiastriPIA","McLaren","50","1:21:06.758"
"Flag of United States of AmericaMiami","04 May","Oscar PiastriPIA","McLaren","57","1:28:51.587"
"Flag of ItalyEmilia-Romagna","18 May","Max VerstappenVER","Red Bull Racing","63","1:31:33.199"
"Flag of MonacoMonaco","25 May","Lando NorrisNOR","McLaren","78","1:40:33.843"
"Flag of SpainSpain","01 Jun","Oscar PiastriPIA","McLaren","66","1:32:57.375"
"Flag of CanadaCanada","15 Jun","George RussellRUS","Mercedes","70","1:31:52.688"
"Flag of AustriaAustria","29 Jun","Lando NorrisNOR","McLaren","70","1:23:47.693"
"Flag of Great BritainGreat Britain","06 Jul","Lando NorrisNOR","McLaren","52","1:37:15.735"
"Flag of BelgiumBelgium","27 Jul","Oscar PiastriPIA","McLaren","44","1:25:22.601"
"Flag of HungaryHungary","03 Aug","Lando NorrisNOR","McLaren","70","1:35:21.231"
"Flag of NetherlandsNetherlands","31 Aug","Oscar PiastriPIA","McLaren","72","1:38:29.849"
"Flag of ItalyItaly","07 Sep","Max VerstappenVER","Red Bull Racing","53","1:13:24.325"
"Flag of AzerbaijanAzerbaijan","21 Sep","Max VerstappenVER","Red Bull Racing","51","1:33:26.408"
"Flag of SingaporeSingapore","05 Oct","George RussellRUS","Mercedes","62","1:40:22.367"
"Flag of United States of AmericaUnited States","19 Oct","Max VerstappenVER","Red Bull Racing","56","1:34:00.161"
"Flag of MexicoMexico","26 Oct","Lando NorrisNOR","McLaren","71","1:37:58.574"
"Flag of BrazilBrazil","09 Nov","Lando NorrisNOR","McLaren","71","1:32:01.596"
"Flag of United States of AmericaLas Vegas","22 Nov","Max VerstappenVER","Red Bull Racing","50","1:21:08.429"
"Flag of QatarQatar","30 Nov","Max VerstappenVER","Red Bull Racing","57","1:24:38.241"
"Flag of United Arab EmiratesAbu Dhabi","07 Dec","Max VerstappenVER","Red Bull Racing","58","1:26:07.469"
